,acc-fidelity+@0.2-all,clf_acc,clf_auc
lri_bern_0,0.016371076926589012,0.9814612865447998,0.9975977540016174
lri_bern_1,0.015006821602582932,0.9770992398262024,0.9964114427566528
lri_bern_2,0.38199180364608765,0.9825518131256104,0.9972047805786133
lri_bern_3,0.11596179753541946,0.9836423397064209,0.9975829720497131
lri_bern_4,0.47748976945877075,0.9792802333831787,0.995907187461853
lri_bern_5,0.45839017629623413,0.9912759065628052,0.9978275895118713
lri_bern_6,0.002728512976318598,0.9869138598442078,0.9966487288475037
lri_bern_7,0.47748976945877075,0.9803707599639893,0.996700644493103
lri_bern_8,0.036834925413131714,0.9858233332633972,0.9971083402633667
lri_bern_9,0.015006821602582932,0.9912759065628052,0.9976644515991211
lri_bern_avg,0.1997271474916488,0.9839694678783417,0.9970653891563416
lri_bern_std,0.20703930393807207,0.004576261980555721,0.0005990096726778837
