,acc-fidelity+@0.8-all,clf_acc,clf_auc
vgib_0,0.18826739490032196,0.9912759065628052,0.9988359212875366
vgib_1,0.3206002712249756,0.9956379532814026,0.9997256398200989
vgib_2,0.2633014917373657,0.994547426700592,0.9992511868476868
vgib_3,0.2223738133907318,0.994547426700592,0.9992066025733948
vgib_4,0.23465211689472198,0.9967284798622131,0.9998295307159424
vgib_5,0.17053206264972687,0.9869138598442078,0.9982502460479736
vgib_6,0.27012279629707336,0.994547426700592,0.9997108578681946
vgib_7,0.25102320313453674,0.994547426700592,0.9998888373374939
vgib_8,0.20600272715091705,0.9934569001197815,0.9998072385787964
vgib_9,0.24283765256404877,0.994547426700592,0.9997701644897461
vgib_avg,0.236971352994442,0.993675023317337,0.9994276225566864
vgib_std,0.04120890191139052,0.0026172275344801756,0.0005119603794476947
