,exp_auc,acc-fidelity+@0.2-all,acc-fidelity+@0.3-all,acc-fidelity+@0.4-all,acc-fidelity+@0.5-all,acc-fidelity+@0.6-all,acc-fidelity+@0.7-all,acc-fidelity+@0.8-all,acc-fidelity+@0.2-pos,acc-fidelity+@0.3-pos,acc-fidelity+@0.4-pos,acc-fidelity+@0.5-pos,acc-fidelity+@0.6-pos,acc-fidelity+@0.7-pos,acc-fidelity+@0.8-pos,acc-fidelity+@0.8-neg,acc-fidelity+@0.7-neg,acc-fidelity+@0.6-neg,acc-fidelity+@0.5-neg,acc-fidelity+@0.4-neg,acc-fidelity+@0.3-neg,acc-fidelity+@0.2-neg,clf_acc,clf_auc,mean_fid
lri_gaussian_0,1.0,0.19083969295024872,0.19083969295024872,0.2006543129682541,0.2606324851512909,0.28680479526519775,0.33042529225349426,0.33260631561279297,0.9728260636329651,0.9728260636329651,0.9728260636329651,0.9728260636329651,0.9619565010070801,0.9347826242446899,0.804347813129425,0.21418826282024384,0.17871759831905365,0.11732605844736099,0.08185538649559021,0.006821282207965851,-0.005457025952637196,-0.005457025952637196,0.9901853799819946,0.9985171556472778,0.25611465530736105
lri_gaussian_1,1.0,0.19738276302814484,0.2279171198606491,0.2649945616722107,0.2955288887023926,0.3391493856906891,0.3685932457447052,0.3555070757865906,0.97826087474823,0.97826087474823,0.97826087474823,0.97826087474823,0.9619565010070801,0.9347826242446899,0.7989130616188049,0.2442019134759903,0.2264665812253952,0.18281036615371704,0.12414734065532684,0.0859481617808342,0.039563439786434174,0.001364256488159299,0.9901853799819946,0.9987173676490784,0.2927247200693403
lri_gaussian_2,1.0,0.19193020462989807,0.2279171198606491,0.26172301173210144,0.2944383919239044,0.34242093563079834,0.4013086259365082,0.3751363158226013,0.967391312122345,0.967391312122345,0.9619565010070801,0.95652174949646,0.9510869383811951,0.907608687877655,0.79347825050354,0.27012279629707336,0.27421554923057556,0.1896316558122635,0.12824010848999023,0.0859481617808342,0.042291950434446335,-0.002728512976318598,0.9901853799819946,0.9986506104469299,0.29926780079092297
lri_gaussian_3,1.0,0.19520173966884613,0.20828789472579956,0.23773173987865448,0.2835332751274109,0.34678298234939575,0.3849509358406067,0.34896400570869446,0.9728260636329651,0.9728260636329651,0.9728260636329651,0.9619565010070801,0.95652174949646,0.9130434989929199,0.7880434989929199,0.23874488472938538,0.2523874342441559,0.19372442364692688,0.1132332906126976,0.053206004202365875,0.016371076926589012,0.0,0.9912759065628052,0.998791515827179,0.2864932247570583
lri_gaussian_4,1.0,0.19411122798919678,0.19956380128860474,0.2235550731420517,0.24972736835479736,0.3086150586605072,0.3478735089302063,0.34460195899009705,0.9836956262588501,0.9836956262588501,0.9836956262588501,0.9836956262588501,0.967391312122345,0.929347813129425,0.8097826242446899,0.22783082723617554,0.20190995931625366,0.14324693381786346,0.06548430770635605,0.032742153853178024,0.002728512976318598,-0.004092769231647253,0.9934569001197815,0.9990139603614807,0.26686399962220875
lri_gaussian_5,1.0,0.18974918127059937,0.19193020462989807,0.2006543129682541,0.22900763154029846,0.2966194152832031,0.34023991227149963,0.3413304388523102,0.9836956262588501,0.9836956262588501,0.9836956262588501,0.9836956262588501,0.9728260636329651,0.9347826242446899,0.7989130616188049,0.2264665812253952,0.19099590182304382,0.1268758475780487,0.039563439786434174,0.004092769231647253,-0.006821282207965851,-0.009549795649945736,0.9890948534011841,0.9982650279998779,0.25564729954515186
lri_gaussian_6,1.0,0.20828789472579956,0.2551799416542053,0.3086150586605072,0.39258450269699097,0.4612868130207062,0.49400219321250916,0.4765539765357971,0.9836956262588501,0.9836956262588501,0.9347826242446899,0.9239130616188049,0.9402173757553101,0.9130434989929199,0.79347825050354,0.39699864387512207,0.3888131082057953,0.34106412529945374,0.2592087388038635,0.15143246948719025,0.0723055899143219,0.013642564415931702,0.9923664331436157,0.9982501864433289,0.37093005435807364
lri_gaussian_7,1.0,0.19520173966884613,0.21155942976474762,0.23882225155830383,0.28898581862449646,0.3598691523075104,0.3980370759963989,0.3751363158226013,0.97826087474823,0.97826087474823,0.97826087474823,0.9728260636329651,0.9619565010070801,0.907608687877655,0.7880434989929199,0.2714870274066925,0.27012279629707336,0.20873123407363892,0.11732605844736099,0.053206004202365875,0.019099591299891472,-0.001364256488159299,0.9912759065628052,0.9989323019981384,0.2953731119632721
lri_gaussian_8,1.0,0.18865866959095,0.19847328960895538,0.22900763154029846,0.2606324851512909,0.3162486255168915,0.3522355556488037,0.3380588889122009,0.9619565010070801,0.9619565010070801,0.9619565010070801,0.9619565010070801,0.945652186870575,0.89673912525177,0.79347825050354,0.22373805940151215,0.21555252373218536,0.1582537591457367,0.08458390086889267,0.045020464807748795,0.006821282207965851,-0.005457025952637196,0.9880043864250183,0.9988730549812317,0.2690450208527701
lri_gaussian_9,1.0,0.5049073100090027,0.5757906436920166,0.6063249707221985,0.6335877776145935,0.6085060238838196,0.5583423972129822,0.4307524561882019,0.54347825050354,0.52173912525177,0.64673912525177,0.7663043737411499,0.864130437374115,0.91847825050354,0.77173912525177,0.34515687823295593,0.46793997287750244,0.5443383455276489,0.6002728343009949,0.5961800813674927,0.5893588066101074,0.49522510170936584,0.9923664331436157,0.9984949231147766,0.5597445113318307
