,acc-fidelity+@1.0-neg,acc-fidelity+@0.9500000000000001-neg,acc-fidelity+@0.9-neg,acc-fidelity+@0.8500000000000001-neg,acc-fidelity+@0.8-neg,clf_acc,clf_auc,mean_fid
erm_0,0.0,0.06139153987169266,0.14597544074058533,0.17462483048439026,0.17871759831905365,0.9912759065628052,0.9979832172393799,0.0
erm_1,0.0,0.07776261866092682,0.14188267290592194,0.17871759831905365,0.18417462706565857,0.9967284798622131,0.9965968132019043,0.0
erm_2,0.0,0.07776261866092682,0.1405184119939804,0.1718963235616684,0.18281036615371704,0.9956379532814026,0.999251127243042,0.0
erm_3,0.0,0.07503410428762436,0.13778990507125854,0.15552523732185364,0.17735333740711212,0.9956379532814026,0.999006450176239,0.0
erm_4,0.0,0.08321964740753174,0.1582537591457367,0.18417462706565857,0.17462483048439026,0.9934569001197815,0.9998072385787964,0.0
erm_5,0.0,0.09276944398880005,0.18417462706565857,0.21828103065490723,0.2442019134759903,0.9956379532814026,0.9995143413543701,0.0
erm_6,0.0,0.07912687957286835,0.14324693381786346,0.16643929481506348,0.19099590182304382,0.9978189468383789,0.9971714019775391,0.0
erm_7,0.0,0.06684856861829758,0.13642564415931702,0.1678035408258438,0.17871759831905365,0.994547426700592,0.9984725713729858,0.0
erm_8,0.0,0.07639836519956589,0.14324693381786346,0.1678035408258438,0.18690313398838043,0.9934569001197815,0.9990286827087402,0.0
erm_9,0.0,0.08321964740753174,0.14324693381786346,0.17053206264972687,0.17871759831905365,0.994547426700592,0.9994958639144897,0.0
erm_avg,0.0,0.0773533433675766,0.1474761262536049,0.17557980865240097,0.18772169053554535,0.9948745846748352,0.9986327707767486,0.0
erm_std,0.0,0.008254598502233201,0.013470264061907804,0.015980445177034813,0.01939164862497795,0.0017617774727209492,0.0010153090168730724,0.0
